student_id,test_name,test_code,first_score,2,last_score,n_attempt,n_attempt_pass,ever_pass,state_passing_score,first_test_date,last_test_date
173432,0921 Geography,921,128,NA,128,1,0,0,153,2012-04-28T00:00:00Z,2012-04-28
201130,0941 World and US History: Content Knowledge,941,133,NA,133,1,0,0,141,2012-04-28T00:00:00Z,2012-04-28
133227,0061 Mathematics: Content Knowledge,61,138,NA,138,1,1,1,129,2012-04-28T00:00:00Z,2012-04-28
205547,0941 World and US History: Content Knowledge,941,142,NA,142,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28
113534,0941 World and US History: Content Knowledge,941,143,NA,143,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28
107293,0061 Mathematics: Content Knowledge,61,145,NA,145,1,1,1,129,2012-04-28T00:00:00Z,2012-04-28
92001,0061 Mathematics: Content Knowledge,61,148,NA,148,1,1,1,129,2012-04-28T00:00:00Z,2012-04-28
210857,0021 Education of Young Children,21,148,NA,148,1,0,0,169,2012-04-28T00:00:00Z,2012-04-28
238067,0061 Mathematics: Content Knowledge,61,148,NA,148,1,1,1,129,2012-04-28T00:00:00Z,2012-04-28
172271,0061 Mathematics: Content Knowledge,61,150,NA,150,1,1,1,129,2012-04-28T00:00:00Z,2012-04-28
154558,0361 English to Speakers of Other Languages,361,151,NA,151,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
54315,0081 Social Studies: Content Knowledge,81,152,NA,152,1,1,1,150,2012-04-28T00:00:00Z,2012-04-28
65231,0014 Elem Ed: Content Knowledge,14,152,NA,152,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
145008,0091 Physical Education: Content Knowledge,91,153,NA,153,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
152899,0091 Physical Education: Content Knowledge,91,153,NA,153,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
220894,0014 Elem Ed: Content Knowledge,14,153,NA,153,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
222548,0014 Elem Ed: Content Knowledge,14,153,NA,153,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
181044,0091 Physical Education: Content Knowledge,91,154,NA,154,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
92001,0091 Physical Education: Content Knowledge,91,155,NA,155,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
131767,0113 Music: Content Knowledge,113,155,NA,155,1,1,1,148,2012-04-28T00:00:00Z,2012-04-28
152899,0235 Biology: Content Knowledge,235,155,NA,155,1,1,1,139,2012-04-28T00:00:00Z,2012-04-28
205547,0091 Physical Education: Content Knowledge,91,155,NA,155,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
132594,0134 Art: Content Knowledge,134,156,NA,156,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
143661,0014 Elem Ed: Content Knowledge,14,156,NA,156,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
201130,0091 Physical Education: Content Knowledge,91,156,NA,156,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
203763,0134 Art: Content Knowledge,134,156,NA,156,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
212858,0091 Physical Education: Content Knowledge,91,156,NA,156,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
128980,0622 Principles of Learn & Teaching: Grades K-6,622,157,NA,157,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
26809,0941 World and US History: Content Knowledge,941,158,NA,158,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28
37550,0921 Geography,921,158,NA,158,1,1,1,153,2012-04-28T00:00:00Z,2012-04-28
137667,0061 Mathematics: Content Knowledge,61,158,NA,158,1,1,1,129,2012-04-28T00:00:00Z,2012-04-28
179873,0941 World and US History: Content Knowledge,941,158,NA,158,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28
197045,0014 Elem Ed: Content Knowledge,14,158,NA,158,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
212858,0941 World and US History: Content Knowledge,941,158,NA,158,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28
75656,0235 Biology: Content Knowledge,235,159,NA,159,1,1,1,139,2012-04-28T00:00:00Z,2012-04-28
106121,0041 English LLC: Content Knowledge,41,159,NA,159,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
133227,0091 Physical Education: Content Knowledge,91,159,NA,159,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
213552,0091 Physical Education: Content Knowledge,91,159,NA,159,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
17197,0134 Art: Content Knowledge,134,160,NA,160,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
54315,0941 World and US History: Content Knowledge,941,160,NA,160,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28
170528,0014 Elem Ed: Content Knowledge,14,160,NA,160,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
93913,0081 Social Studies: Content Knowledge,81,161,NA,161,1,1,1,150,2012-04-28T00:00:00Z,2012-04-28
154558,0041 English LLC: Content Knowledge,41,161,NA,161,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
159188,0041 English LLC: Content Knowledge,41,161,NA,161,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
163087,0134 Art: Content Knowledge,134,161,NA,161,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
203763,0361 English to Speakers of Other Languages,361,161,NA,161,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
