student_id,test_name,test_code,first_score,2,last_score,n_attempt,n_attempt_pass,ever_pass,state_passing_score,first_test_date,last_test_date,total_tests,average_first_score,first_standard_deviation,first_z_score,average_last_score,last_standard_deviation,last_z_score,first_score_cutoff,last_score_cutoff,average_z_score
1830,0061 Mathematics: Content Knowledge,61,170,NA,170,1,1,1,129,2012-04-28T00:00:00Z,2012-04-28,55,153.9090909090909,17.10563338794251,0.94,154.8181818181818,15.797434049836149,0.96,41,41,0.95
1831,0361 English to Speakers of Other Languages,361,143,148,148,5,0,0,151,2012-04-28T00:00:00Z,2013-06-08,61,156.04918032786884,13.038949637538801,-1,157.65573770491804,12.363771331194,-0.78,-8,-3,-0.89
6608,0121 Family and Consumer Sciences,121,184,NA,184,1,1,1,157,2012-04-28T00:00:00Z,2012-04-28,21,166.14285714285714,8.945868958830742,2,166.57142857142858,8.29199269519353,2.1,27,27,2.05
10579,0113 Music: Content Knowledge,113,172,NA,172,1,1,1,148,2012-04-28T00:00:00Z,2012-04-28,32,168.1875,12.322121465857851,0.31,167.875,12.985724171491727,0.32,24,24,0.315
13710,0081 Social Studies: Content Knowledge,81,172,NA,172,1,1,1,150,2012-04-28T00:00:00Z,2012-04-28,22,167.4090909090909,12.938164626256071,0.35,168.1818181818182,11.874888926343145,0.32,22,22,0.33499999999999996
15870,0041 English LLC: Content Knowledge,41,198,NA,198,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28,93,175.46236559139786,13.732347672704059,1.64,176.38709677419354,12.478705564545544,1.73,40,40,1.685
15870,0640 Theatre,640,780,NA,780,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28,17,657.0588235294117,94.25793772160206,1.3,660,90.76067430335674,1.32,240,240,1.31
17197,0134 Art: Content Knowledge,134,160,NA,160,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28,35,162.0857142857143,14.633505929828276,-0.14,165.85714285714286,13.873679814549515,-0.42,9,9,-0.28
17595,0941 World and US History: Content Knowledge,941,166,NA,166,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28,74,160.52702702702703,14.995180022829594,0.36,161.17567567567568,14.281282038405939,0.34,25,25,0.35
25558,0640 Theatre,640,750,NA,750,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28,17,657.0588235294117,94.25793772160206,0.99,660,90.76067430335674,0.99,210,210,0.99
25558,0041 English LLC: Content Knowledge,41,173,NA,173,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28,93,175.46236559139786,13.732347672704059,-0.18,176.38709677419354,12.478705564545544,-0.27,15,15,-0.225
26809,0041 English LLC: Content Knowledge,41,197,NA,197,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28,93,175.46236559139786,13.732347672704059,1.57,176.38709677419354,12.478705564545544,1.65,39,39,1.6099999999999999
26809,0941 World and US History: Content Knowledge,941,158,NA,158,1,1,1,141,2012-04-28T00:00:00Z,2012-04-28,74,160.52702702702703,14.995180022829594,-0.17,161.17567567567568,14.281282038405939,-0.22,17,17,-0.195
27518,0014 Elem Ed: Content Knowledge,14,169,NA,169,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28,201,169.65671641791045,13.97950525462826,-0.05,169.9900497512438,13.353647460432391,-0.07,26,26,-0.060000000000000005
32752,0622 Principles of Learn & Teaching: Grades K-6,622,184,NA,184,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28,206,174.35922330097088,9.915107338810676,0.97,174.61650485436894,9.460238712889563,0.99,30,30,0.98
35833,0640 Theatre,640,750,NA,750,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28,17,657.0588235294117,94.25793772160206,0.99,660,90.76067430335674,0.99,210,210,0.99
37550,0921 Geography,921,158,NA,158,1,1,1,153,2012-04-28T00:00:00Z,2012-04-28,11,168.63636363636363,16.243600138348196,-0.65,168.63636363636363,16.243600138348196,-0.65,5,5,-0.65
37550,0571 Earth and Space Sciences: Content Knowledge,571,178,NA,178,1,1,1,144,2012-04-28T00:00:00Z,2012-04-28,7,172.42857142857142,9.589180410878761,0.58,172.42857142857142,9.589180410878761,0.58,34,34,0.58
39284,0640 Theatre,640,670,NA,670,1,1,1,540,2012-04-28T00:00:00Z,2012-04-28,17,657.0588235294117,94.25793772160206,0.14,660,90.76067430335674,0.11,130,130,0.125
40555,0014 Elem Ed: Content Knowledge,14,162,NA,162,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28,201,169.65671641791045,13.97950525462826,-0.55,169.9900497512438,13.353647460432391,-0.6,19,19,-0.575
40555,0622 Principles of Learn & Teaching: Grades K-6,622,164,NA,164,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28,206,174.35922330097088,9.915107338810676,-1.04,174.61650485436894,9.460238712889563,-1.12,10,10,-1.08
